"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Country","country","string","","partnerships_information","true","","false","false","false","false","false","false","Unknown user","Automation platform flow (1); Properties v3 card (2)"
"Domain","domain","string","","partnerships_information","true","","false","false","false","false","false","false","Unknown user","Automation platform flow (1); Object requirement (1); Association card (1); Pipeline board view (1); Sales view (1); Properties v3 card (2); Association v3 card (1)"
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","partnerships_information","false","","true","true","false","false","false","true","HubSpot","Properties v3 card (1)"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","partnerships_information","false","","true","true","false","false","false","true","HubSpot","Sales view (1); Properties v3 card (1)"
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","partnerships_information","false","","true","true","false","false","false","true","HubSpot","Properties v3 card (1)"
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","partnerships_information","false","","true","true","false","true","false","true","HubSpot","Properties v3 card (1)"
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","partnerships_information","false","","true","true","false","false","false","true","HubSpot","Inbounddb lists (3); Automation platform flow (3)"
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","partnerships_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","partnerships_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","partnerships_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","partnerships_information","false","","true","true","false","true","false","true","HubSpot",""
"Partnership pipeline","hs_pipeline","enumeration","The pipeline of this Partnership","partnerships_information","true","","false","true","false","true","false","true","HubSpot","Automation platform flow (1); Properties v3 card (1)"
"Partnership pipeline stage","hs_pipeline_stage","enumeration","The pipeline stage of this Partnership","partnerships_information","true","","false","true","false","true","false","true","HubSpot","Automation platform flow (3); Object requirement (1); Sales view (2); Association table card (1); Properties v3 card (2)"
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","partnerships_information","false","","true","true","false","false","false","true","HubSpot","Properties v3 card (1)"
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","partnerships_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","partnerships_information","false","","false","true","false","true","false","true","HubSpot","Automation platform flow (2); Pipeline board view (1); Properties v3 card (1)"
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","partnerships_information","false","","true","true","false","true","false","true","HubSpot","Properties v3 card (1)"
