"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Amplemarket Enrichment Date","amplemarket_enrichment_date","datetime","This field contains the date and time at which the enrichment is completed successfully.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1)"
"Amplemarket Latest Funding Stage","amplemarket_latest_funding_stage","string","This field is going to retrieve data from Amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Amplemarket Sender Calendar Link","amplemarket_sender_calendar_link","string","","amplemarket","true","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Amplemarket Sender First Name","amplemarket_sender_first_name","string","","amplemarket","true","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Amplemarket Sender Last Name","amplemarket_sender_last_name","string","","amplemarket","true","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Amplemarket Sender Phone Number","amplemarket_sender_phone_number","string","","amplemarket","true","","false","false","false","false","false","false","Brandon Dith-Berry",""
"Company Industry","company_industry","string","This information is retrieved from Amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Company Logo Url","company_logo_url","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Company Type","company_type","string","This field is updated from Amplemarket's data.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (2)"
"Department Head Count","department_head_count","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1)"
"Estimated Number of Employees","estimated_number_of_employees","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"is b2b","is_b2b","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"is b2c","is_b2c","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Job Function Head Count","job_function_head_count","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1)"
"NAIC Code","naic_code","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Number of Followers","number_of_followers","number","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Overview","overview","string","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Traffic Rank","traffic_rank","number","It contains the data retrieved from amplemarket.","amplemarket","true","","false","false","false","false","false","false","Krunalkumar Shah","Automation platform flow (1); Properties list card (1); Properties v3 card (1)"
"Days to Close","days_to_close","number","The number of days between when the company record was created and when they closed as a customer.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Time First Seen","hs_analytics_first_timestamp","datetime","The first activity for any contact associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"First Touch Converting Campaign","hs_analytics_first_touch_converting_campaign","string","The campaign responsible for the first touch creation of the first contact associated with this company","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Time of First Session","hs_analytics_first_visit_timestamp","datetime","Time of first session across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Time Last Seen","hs_analytics_last_timestamp","datetime","Time last seen across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Report (1)"
"Last Touch Converting Campaign","hs_analytics_last_touch_converting_campaign","string","The campaign responsible for the last touch creation of the first contact associated with this company","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Time of Last Session","hs_analytics_last_visit_timestamp","datetime","Time of the last session attributed to any contacts that are associated with this company record.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Number of Pageviews","hs_analytics_num_page_views","number","Total number of page views across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","Calculated property (1); Report (2)"
"Number of Sessions","hs_analytics_num_visits","number","Total number of sessions across all contacts associated with this company or organization","analyticsinformation","false","","true","true","false","false","false","true","HubSpot",""
"Original Source Type","hs_analytics_source","enumeration","Original source for the contact with the earliest activity for this company or organization","analyticsinformation","false","[{""label"":""Organic Search"",""value"":""ORGANIC_SEARCH"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Paid Search"",""value"":""PAID_SEARCH"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Email Marketing"",""value"":""EMAIL_MARKETING"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Organic Social"",""value"":""SOCIAL_MEDIA"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Referrals"",""value"":""REFERRALS"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Other Campaigns"",""value"":""OTHER_CAMPAIGNS"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Direct Traffic"",""value"":""DIRECT_TRAFFIC"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Offline Sources"",""value"":""OFFLINE"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Paid Social"",""value"":""PAID_SOCIAL"",""displayOrder"":8,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot","Inbounddb lists (1); Report (1); Sales view (9); Properties v3 card (1)"
